,Life Ladder,Log GDP per capita
814,7.195,10.538
815,6.854,10.703
816,6.574,10.727
817,6.78,10.710999999999999
818,6.334,10.652000000000001
819,6.354,10.665999999999999
820,6.057,10.671
821,5.8389999999999995,10.638
822,6.0089999999999995,10.607999999999999
823,6.027,10.599
824,5.848,10.607999999999999
825,5.955,10.622
826,6.199,10.64
827,6.517,10.65
828,6.445,10.655
829,6.4879999999999995,10.562999999999999
830,4.197,8.209
831,3.739,8.274
832,3.57,8.334
833,4.445,8.392999999999999
834,4.543,8.437000000000001
835,5.038,8.482999999999999
836,5.268,8.523
837,5.392,8.564
838,5.257000000000001,8.565
839,6.207999999999999,9.225
840,5.374,9.164
841,5.709,9.151
842,5.311,9.152000000000001
843,5.89,9.169
844,6.309,9.186
845,6.516,10.529000000000002
846,6.2379999999999995,10.558
847,5.9110000000000005,10.546
848,5.845,10.491
849,6.057,10.532
850,6.263,10.532
851,5.968,10.549000000000001
852,5.959,10.57
853,5.922999999999999,10.575
854,5.88,10.588
855,5.955,10.595
856,5.9110000000000005,10.618
857,5.794,10.623
858,5.9079999999999995,10.632
859,6.117999999999999,10.58
860,6.295,9.246
861,5.598,9.321
862,4.93,9.343
863,6.0,9.347000000000001
864,5.57,9.317
865,5.539,9.289
866,5.132000000000001,9.261000000000001
867,5.172000000000001,9.237
868,5.332999999999999,9.222000000000001
869,5.405,9.207
870,5.271,9.197000000000001
871,4.808,9.193999999999999
872,4.638999999999999,9.196
873,4.453,9.201
874,4.093999999999999,9.15
875,5.476,9.804
876,5.718999999999999,9.878
877,5.886,9.898
878,5.382999999999999,9.884
879,5.513999999999999,9.94
880,5.736000000000001,9.997
881,5.7589999999999995,10.03
882,5.835,10.074
883,5.97,10.101
884,5.95,10.097999999999999
885,5.534,10.095
886,5.882000000000001,10.121
887,6.007999999999999,10.148
888,6.272,10.179
889,6.167999999999999,10.135
890,4.223,8.039
891,4.5760000000000005,8.078
892,4.015,8.052
893,4.27,8.057
894,4.256,8.111
895,4.405,8.142999999999999
896,4.547,8.161
897,3.795,8.192
898,4.905,8.219
899,4.3580000000000005,8.249
900,4.396,8.282
901,4.476,8.306000000000001
902,4.656000000000001,8.344
903,4.619,8.373
904,4.547,8.365
905,5.104,8.927999999999999
906,5.522,8.981
907,5.891,9.008
908,5.1770000000000005,9.033
909,4.86,9.067
910,5.64,9.086
911,6.126,9.113
912,5.0,9.129
913,5.077,9.182
914,5.7589999999999995,9.228
915,6.149,9.262
916,6.392,9.296
917,6.425,9.339
919,6.0760000000000005,11.228
920,6.585,11.065
921,6.797999999999999,10.982000000000001
922,6.377999999999999,11.017000000000001
923,6.221,11.025
924,6.48,10.985
925,6.18,10.945
926,6.146,10.912
927,5.947,10.91
928,6.093999999999999,10.837
929,6.106,10.817
930,4.641,8.185
931,4.698,8.258
932,4.737,8.329
933,5.069,8.345
934,4.996,8.329
935,4.921,8.374
936,5.207999999999999,8.357000000000001
937,5.402,8.441
938,5.252000000000001,8.46
939,4.905,8.477
940,4.857,8.5
941,5.63,8.526
942,5.297000000000001,8.543
943,5.685,8.567
944,6.25,8.503
945,5.0760000000000005,8.251
946,5.364,8.307
947,5.044,8.366
948,4.704,8.548
949,4.876,8.611
950,4.623,8.89
951,4.859,8.935
952,5.197,8.965
953,5.284,8.96
954,4.71,10.032
955,4.667,10.136000000000001
956,5.145,10.112
957,4.669,9.975
958,4.967,10.029
959,5.125,10.082
960,5.07,10.116
961,5.729,10.144
962,5.881,10.185
963,5.94,10.211
964,5.978,10.257
965,5.901,10.307
966,5.97,10.335999999999999
967,6.229,10.3
968,5.4910000000000005,9.565
969,4.6530000000000005,9.568
970,4.595,9.743
971,5.206,9.83
972,5.032,9.878
973,5.188,9.838
974,4.573,9.8
975,4.9830000000000005,9.772
976,5.233,9.738999999999999
977,5.172000000000001,9.699
978,5.271,9.687000000000001
979,5.154,9.681000000000001
980,5.167000000000001,9.656
981,4.024,9.597000000000001
982,4.898,7.777
983,3.8080000000000003,7.952999999999999
984,3.795,7.931
985,3.512,7.926
986,3.701,7.196000000000001
987,4.221,7.223
988,4.196000000000001,7.257999999999999
989,4.571000000000001,7.391
990,2.702,7.365
991,3.355,7.324
992,4.4239999999999995,7.324
993,4.135,7.311
994,5.121,7.263999999999999
995,5.754,9.842
996,5.615,9.308
997,5.434,9.267999999999999
998,5.647,9.491
999,5.494,9.617
1000,5.33,9.627
1001,5.954,10.046
1002,5.808,10.163
1003,5.553999999999999,10.199
1004,5.4670000000000005,10.05
1005,5.066,10.085
1006,5.432,10.167
1007,5.771,10.218
1008,5.596,10.263
1009,6.126,10.306
1010,5.711,10.335
1011,5.8660000000000005,10.373
1012,6.273,10.429
1013,6.309,10.474
1014,6.064,10.517999999999999
1015,6.391,10.504000000000001
1016,6.957999999999999,11.562000000000001
1017,7.097,11.592
1018,7.101,11.595
1019,6.9639999999999995,11.567
1020,7.131,11.58
1021,6.891,11.597999999999999
1022,6.702000000000001,11.617
1023,6.9670000000000005,11.64
1024,7.061,11.634
1025,7.242999999999999,11.645
1026,7.404,11.648
1027,3.98,7.376
1028,4.64,7.439
1029,4.381,7.336
1030,3.551,7.3389999999999995
1031,3.8160000000000003,7.334
1032,3.676,7.34
1033,3.593,7.343999999999999
1034,3.6630000000000003,7.356
1035,4.079,7.367999999999999
1036,4.071000000000001,7.386
1037,4.3389999999999995,7.406000000000001
1038,3.83,6.678
1039,4.891,6.742000000000001
1040,5.148,6.837999999999999
1041,3.946,6.895
1042,4.279,6.885
1043,4.035,6.907
1044,4.563,6.935
1045,3.8680000000000003,6.935
1046,3.4760000000000004,6.932
1047,3.417,6.945
1048,3.335,6.949
1049,3.8689999999999998,6.966
1050,6.0120000000000005,9.839
1051,6.239,9.881
1052,5.807,9.908999999999999
1053,5.385,9.875
1054,5.58,9.93
1055,5.7860000000000005,9.966000000000001
1056,5.914,10.005
1057,5.77,10.037
1058,5.962999999999999,10.082
1059,6.322,10.118
1060,5.3389999999999995,10.222999999999999
1061,5.428,10.252
1062,5.1979999999999995,9.826
1063,4.013999999999999,7.593
1064,4.115,7.607
1065,3.977,7.622000000000001
1066,3.762,7.642
1067,4.667,7.643
1068,4.313,7.605
1069,3.676,7.599
1070,3.975,7.638
1071,4.582,7.669
1072,4.016,7.695
1073,4.742,7.718
1074,4.416,7.733
1075,4.988,7.752000000000001
1076,6.327999999999999,10.331
1077,5.774,10.360999999999999
1078,6.155,10.37
1079,5.962999999999999,10.389000000000001
1080,6.38,10.422
1081,6.452000000000001,10.485999999999999
1082,6.6129999999999995,10.565999999999999
1083,6.591,10.599
1084,6.676,10.635
1085,6.91,10.67
1086,6.733,10.677
1088,4.149,8.533
1089,4.248,8.501
1090,4.5,8.472999999999999
1091,4.772,8.47
1092,4.785,8.481
1093,4.673,8.495
1094,4.199,8.506
1095,4.4830000000000005,8.519
1096,3.923,8.542
1097,4.4719999999999995,8.526
1098,4.678,8.533
1099,4.314,8.526
1100,4.1530000000000005,8.556000000000001
1101,5.477,9.767000000000001
1102,5.648,9.865
1103,5.61,9.935
1104,6.1739999999999995,9.972000000000001
1105,5.882000000000001,10.008
1106,6.2410000000000005,10.043
1107,6.015,9.972000000000001
1108,6.581,9.788
1109,6.525,9.825
1110,6.829,9.821
1111,6.962999999999999,9.752
1112,6.8020000000000005,9.788
1113,6.91,9.81
1114,7.32,9.832
1115,7.443,9.832
1116,6.68,9.847000000000001
1117,6.236000000000001,9.867
1118,6.824,9.884
1119,6.41,9.892999999999999
1120,6.55,9.902999999999999
1121,6.432,9.891
1122,5.9639999999999995,9.782
1123,5.102,8.936
1124,4.775,8.968
1125,5.502999999999999,9.045
1126,5.553999999999999,8.984
1127,5.59,9.054
1128,5.792000000000001,9.111
1129,5.996,9.105
1130,5.756,9.192
1131,5.917000000000001,9.241
1132,6.017,9.246
1133,5.577999999999999,9.3
1134,5.3260000000000005,9.363
1135,5.682,9.423
1136,5.803,9.475
1137,5.812,9.462
1138,4.609,8.833
